,open,,low,close,volume,date,,high
117,83.15,,83.101,83.169,108053,12/3/2021 8:27,83.18965714,83.32
118,83.17,,83.11,83.435,149737,12/3/2021 8:28,83.27571429,83.54
119,83.4423,,83.14,83.15,115133,12/3/2021 8:29,83.33,83.46
120,83.15,,83.11,83.35,119075,12/3/2021 8:30,83.34857143,83.46
121,83.3899,,83.2066,83.52,195990,12/3/2021 8:31,83.39428571,83.63
122,83.52,,83.49,83.89,163234,12/3/2021 8:32,83.50285714,83.89
123,83.89,,83.68,84.065,377895,12/3/2021 8:33,83.64285714,84.2
124,84.04,,83.92,84.14,108370,12/3/2021 8:34,83.76571429,84.18
125,84.14,,83.68,83.8,232981,12/3/2021 8:35,83.89,84.41
126,83.796,,83.74,83.94,113147,12/3/2021 8:36,83.96571429,83.99
127,83.97,,83.96,84.52,201336,12/3/2021 8:37,84.12857143,84.6
128,84.56,,84.45,84.58,163207,12/3/2021 8:38,84.28998571,84.7599
129,84.585,,84.56,84.69,181154,12/3/2021 8:39,84.41712857,84.78
130,84.6687,,84.28,84.425,136911,12/3/2021 8:40,84.4914,84.7199
131,84.4601,,84.16,84.185,90169,12/3/2021 8:41,84.53711429,84.5
132,84.1771,,83.75,83.76,189035,12/3/2021 8:42,84.51425714,84.25
133,83.81,,83.55,83.744,144678,12/3/2021 8:43,84.5114,83.97
134,83.735,,83.2899,83.325,114044,12/3/2021 8:44,84.38854286,83.74
135,83.325,,83.02,83.31,128253,12/3/2021 8:45,84.18855714,83.36
136,83.26,,83.22,83.455,101991,12/3/2021 8:46,84.0057,83.5
137,83.434,,83.007,83.14,129519,12/3/2021 8:47,83.82571429,83.46
138,83.1,,83.1,83.42,102808,12/3/2021 8:48,83.67571429,83.45
139,83.4399,,83.38,83.475,92103,12/3/2021 8:49,83.59714286,83.7
140,83.48,,83.3,83.33,56952,12/3/2021 8:50,83.53284286,83.5199
141,83.31,,83.1501,83.35,55340,12/3/2021 8:51,83.48325714,83.3929
142,83.36,,83.36,83.8599,90013,12/3/2021 8:52,83.5604,83.9
143,83.82,,83.77,83.95,93137,12/3/2021 8:53,83.63182857,84
144,83.9713,,83.79,83.79,66492,12/3/2021 8:54,83.71325714,84.03
145,83.82,,83.6,83.76,71276,12/3/2021 8:55,83.76752857,83.8299
146,83.7646,,83.6901,83.7,51647,12/3/2021 8:56,83.78181429,83.8
147,83.745,,83.55,83.56,57616,12/3/2021 8:57,83.82325714,83.81
148,83.5701,,83.23,83.27,89566,12/3/2021 8:58,83.85998571,83.65
149,83.29,,83.23,83.3701,85535,12/3/2021 8:59,83.81498571,83.585
150,83.4,,83.06,83.11,106417,12/3/2021 9:00,83.74927143,83.54
151,83.14,,82.91,82.98,71435,12/3/2021 9:01,83.63141429,83.205
152,83,,82.96,83.11,40275,12/3/2021 9:02,83.53285714,83.14
153,83.1,,83.0817,83.37,74933,12/3/2021 9:03,83.47571429,83.4
154,83.38,,83.3,83.36,49757,12/3/2021 9:04,83.43,83.49
155,83.36,,83.3301,83.5901,65763,12/3/2021 9:05,83.43571429,83.69
156,83.59,,83.38,83.46,36339,12/3/2021 9:06,83.43927143,83.6099
157,83.485,,83.29,83.29,32837,12/3/2021 9:07,83.43498571,83.51
158,83.28,,83.18,83.36,54026,12/3/2021 9:08,83.46141429,83.39
159,83.3601,,83.34,83.653,62385,12/3/2021 9:09,83.53987143,83.6892
160,83.62,,83.58,83.5901,53218,12/3/2021 9:10,83.58987143,83.75
161,83.63,,83.47,83.6599,44541,12/3/2021 9:11,83.61558571,83.67
162,83.66,,83.61,83.86,92389,12/3/2021 9:12,83.64701429,83.91
163,83.82,,83.73,83.8,174375,12/3/2021 9:13,83.70131429,83.99
164,83.83,,83.77,84.01,116074,12/3/2021 9:14,83.79274286,84.15
165,84.02,,84.02,84.19,125947,12/3/2021 9:15,83.91845714,84.27
166,84.19,,84.05,84.11,91852,12/3/2021 9:16,84.00427143,84.2899
167,84.12,,84.07,84.27,84059,12/3/2021 9:17,84.0857,84.32
168,84.32,,84.22,84.28,91686,12/3/2021 9:18,84.1957,84.44
169,84.28,,83.9601,84.18,83062,12/3/2021 9:19,84.26141429,84.37
170,84.19,,84.0089,84.1,104480,12/3/2021 9:20,84.29981429,84.2588
171,84.0801,,84.03,84.17,51587,12/3/2021 9:21,84.31552857,84.26
172,84.19,,84.11,84.1701,56729,12/3/2021 9:22,84.31981429,84.3
173,84.185,,84.1,84.1944,30687,12/3/2021 9:23,84.31267143,84.2399
174,84.21,,84.11,84.11,42175,12/3/2021 9:24,84.3041,84.26
175,84.1,,83.76,84.074,81624,12/3/2021 9:25,84.26267143,84.15
176,84.08,,84.04,84.1999,38637,12/3/2021 9:26,84.23838571,84.2
177,84.2,,84.1001,84.2,51385,12/3/2021 9:27,84.22998571,84.2
178,84.2,,84.137,84.2,50293,12/3/2021 9:28,84.22141429,84.2
179,84.18,,84.01,84.01,84050,12/3/2021 9:29,84.20712857,84.2
180,83.98,,83.8,83.89,52560,12/3/2021 9:30,84.17,83.98
181,83.93,,83.7,83.7104,39787,12/3/2021 9:31,84.13285714,84
182,83.73,,83.44,83.5199,93574,12/3/2021 9:32,84.07285714,83.73
183,83.52,,83.47,83.47,46972,12/3/2021 9:33,83.99285714,83.64
184,83.475,,83.475,83.765,34995,12/3/2021 9:34,83.93285714,83.78
185,83.75,,83.75,84.2862,78967,12/3/2021 9:35,83.94857143,84.31
186,84.31,,84.28,84.36,96577,12/3/2021 9:36,83.98998571,84.4899
187,84.3967,,84.25,84.41,48735,12/3/2021 9:37,84.05712857,84.45
188,84.38,,84.31,84.379,79671,12/3/2021 9:38,84.12855714,84.5
189,84.38,,84.31,84.4219,28985,12/3/2021 9:39,84.22998571,84.44
190,84.41,,84.34,84.38,28889,12/3/2021 9:40,84.34427143,84.44
191,84.4,,84.32,84.36,39146,12/3/2021 9:41,84.43855714,84.44
192,84.36,,84.36,84.48,58348,12/3/2021 9:42,84.4657,84.5
193,84.48,,84.3,84.35,68053,12/3/2021 9:43,84.46714286,84.5
194,84.3799,,84.17,84.21,53814,12/3/2021 9:44,84.45712857,84.3799
195,84.21,,83.965,84.07,60063,12/3/2021 9:45,84.4157,84.21
196,84.0788,,84,84.0665,34848,12/3/2021 9:46,84.37427143,84.15
197,84.075,,83.94,83.9701,35207,12/3/2021 9:47,84.32795714,84.1158
198,84.01,,83.91,83.99,25267,12/3/2021 9:48,84.27081429,84.04
199,84,,84,84.35,65619,12/3/2021 9:49,84.25355714,84.3792
200,84.35,,84.32,84.4,48286,12/3/2021 9:50,84.25355714,84.5
201,84.41,,84.28,84.315,42206,12/3/2021 9:51,84.26214286,84.44
202,84.3023,,84.12,84.12,41108,12/3/2021 9:52,84.28357143,84.36
203,84.14,,84.0401,84.1301,41127,12/3/2021 9:53,84.28768571,84.1788
204,84.145,,84.02,84.0201,41405,12/3/2021 9:54,84.29948571,84.1984
205,84.02,,83.71,83.805,60288,12/3/2021 9:55,84.30662857,84.09
206,83.82,,83.8,83.83,44278,12/3/2021 9:56,84.24388571,83.94
