,open,high,low,close,volume,date,Close - Open,Gpa Percent,,open,high,low,close,volume,date
84,335.06,335.77,332.955,335.57,44282089,8/9/2020 22:00,0.51,0.146456646,84,901,981,-658,-96,0,8/9/2020 22:00
85,336.85,337.54,332.01,332.8,69601087,8/10/2020 22:00,-4.05,0.381440534,85,1307,1329,-1277,-301,0,8/10/2020 22:00
86,335.44,338.28,332.8377,337.44,53826128,8/11/2020 22:00,2,0.793269231,86,1386,1421,-838,-8,0,8/11/2020 22:00
87,336.61,338.2514,335.83,336.83,41816146,8/12/2020 22:00,0.22,-0.245969654,87,-824,712,-1041,-195,0,8/12/2020 22:00
88,336.41,337.42,335.62,336.84,47260390,8/13/2020 22:00,0.43,-0.124691981,88,-998,708,-998,-59,0,8/13/2020 22:00
89,337.94,338.34,336.8517,337.91,35480974,8/16/2020 22:00,-0.03,0.326564541,89,509,723,-531,-234,0,8/16/2020 22:00
90,338.34,339.1,336.61,338.64,38733908,8/17/2020 22:00,0.3,0.127252819,90,-299,695,-738,189,0,8/17/2020 22:00
91,339.05,339.61,336.62,337.23,68054244,8/18/2020 22:00,-1.82,0.121072525,91,172,604,-1051,-291,0,8/18/2020 22:00
92,335.36,338.8,335.22,338.28,42207826,8/19/2020 22:00,2.92,-0.554517688,92,-1440,763,-1440,-272,0,8/19/2020 22:00
93,337.92,339.72,337.55,339.48,55106628,8/20/2020 22:00,1.56,-0.106420717,93,-828,577,-888,221,0,8/20/2020 22:00
94,342.12,343,339.4504,342.92,48588662,8/23/2020 22:00,0.8,0.777659951,94,1281,1281,-565,46,0,8/23/2020 22:00
95,343.53,344.21,342.27,344.12,38463381,8/24/2020 22:00,0.59,0.177884055,95,827,852,-994,202,0,8/24/2020 22:00
96,344.76,347.86,344.17,347.57,50790237,8/25/2020 22:00,2.81,0.185981634,96,-487,579,-616,-99,0,8/25/2020 22:00
97,348.51,349.9,346.53,348.33,58034142,8/26/2020 22:00,-0.18,0.270449118,97,806,866,-878,-90,0,8/26/2020 22:00
98,349.44,350.72,348.15,350.58,48588940,8/27/2020 22:00,1.14,0.318663336,98,1100,1100,-629,409,0,8/27/2020 22:00
99,350.35,351.3,349.06,349.31,66099183,8/30/2020 22:00,-1.04,-0.065605568,99,-378,673,-979,13,0,8/30/2020 22:00
100,350.21,352.71,349.24,352.6,54999325,8/31/2020 22:00,2.39,0.257650797,100,-546,735,-770,-18,0,8/31/2020 22:00
101,354.67,358.75,353.43,357.7,69540035,9/1/2020 22:00,3.03,0.587067499,101,222,795,-791,364,0,9/1/2020 22:00
102,355.87,356.38,342.59,345.39,148011129,9/2/2020 22:00,-10.48,-0.511601901,102,30,1004,-1678,-285,0,9/2/2020 22:00
103,346.13,347.83,334.87,342.57,139156281,9/3/2020 22:00,-3.56,0.214250557,103,1075,1397,-1513,183,0,9/3/2020 22:00
104,336.71,342.64,332.88,333.21,114465322,9/7/2020 22:00,-3.5,-1.710599294,104,-1385,921,-1385,-32,0,9/7/2020 22:00
105,337.55,342.46,336.61,339.79,91462290,9/8/2020 22:00,2.24,1.302481918,105,1433,1433,-796,-268,0,9/8/2020 22:00
106,341.82,342.53,332.85,333.89,90569548,9/9/2020 22:00,-7.93,0.597427823,106,720,1016,-1271,246,0,9/9/2020 22:00
107,335.82,336.97,331,334.06,84680194,9/10/2020 22:00,-1.76,0.578034682,107,1065,1088,-1222,219,0,9/10/2020 22:00
108,337.49,340.38,334.2208,338.46,65605686,9/13/2020 22:00,0.97,1.02676166,108,146,874,-1035,422,0,9/13/2020 22:00
109,341.12,342.02,338.4683,340.17,52920862,9/14/2020 22:00,-0.95,0.785912663,109,1186,1232,-984,36,0,9/14/2020 22:00
110,341.51,343.06,338.52,338.82,82211256,9/15/2020 22:00,-2.69,0.393920687,110,892,1000,-1186,-596,0,9/15/2020 22:00
111,333.56,337.6996,332.991,335.84,91523339,9/16/2020 22:00,2.28,-1.552446727,111,-1601,1034,-1601,48,0,9/16/2020 22:00
112,335.37,335.49,327.97,330.65,105877942,9/17/2020 22:00,-4.72,-0.139947594,112,495,845,-1479,114,0,9/17/2020 22:00
113,325.7,327.13,321.73,326.97,99450829,9/20/2020 22:00,1.27,-1.497051263,113,-1599,977,-1599,209,0,9/20/2020 22:00
114,328.57,330.9,325.86,330.3,63612107,9/21/2020 22:00,1.73,0.48934153,114,570,1118,-1166,223,0,9/21/2020 22:00
115,330.9,331.2,322.1,322.64,93112240,9/22/2020 22:00,-8.26,0.181653043,115,65,757,-1686,-201,0,9/22/2020 22:00
116,321.22,326.797,319.8,323.5,76681332,9/23/2020 22:00,2.28,-0.440119018,116,-391,1392,-1376,-137,0,9/23/2020 22:00
117,322.58,329.58,321.64,328.73,71069426,9/24/2020 22:00,6.15,-0.28438949,117,-1055,1395,-1117,-150,0,9/24/2020 22:00
118,333.22,334.96,332.15,334.19,64584614,9/27/2020 22:00,0.97,1.365862562,118,1685,1710,-914,-338,0,9/27/2020 22:00
119,333.97,334.77,331.6209,332.37,51531594,9/28/2020 22:00,-1.6,-0.065830815,119,-85,919,-1103,272,0,9/28/2020 22:00
120,333.09,338.29,332.88,334.89,104081136,9/29/2020 22:00,1.8,0.216626049,120,917,1095,-1536,-32,0,9/29/2020 22:00
121,337.69,338.74,335.01,337.04,88698745,9/30/2020 22:00,-0.65,0.836095434,121,983,1128,-1197,-99,0,9/30/2020 22:00
122,331.7,337.0126,331.19,333.84,89431112,10/1/2020 22:00,2.14,-1.584381676,122,-1780,1090,-1780,148,0,10/1/2020 22:00
123,336.06,339.96,336.01,339.76,45713108,10/4/2020 22:00,3.7,0.664989216,123,1382,1400,-563,-215,0,10/4/2020 22:00
124,339.91,342.17,334.38,334.93,90128883,10/5/2020 22:00,-4.98,0.044148811,124,1128,1154,-1464,-37,0,10/5/2020 22:00
125,338.12,341.63,338.09,340.76,56999597,10/6/2020 22:00,2.64,0.952437823,125,1512,1564,-712,-70,0,10/6/2020 22:00
126,342.85,343.85,341.86,343.78,45242476,10/7/2020 22:00,0.93,0.613334898,126,1344,1344,-894,5,0,10/7/2020 22:00
127,345.56,347.35,344.89,346.85,59528606,10/8/2020 22:00,1.29,0.517772994,127,1210,1231,-1009,72,0,10/8/2020 22:00
128,349.59,354.02,349.06,352.43,80388533,10/11/2020 22:00,2.84,0.789966844,128,372,753,-674,-122,0,10/11/2020 22:00
129,352.28,352.4651,349.09,350.13,73255513,10/12/2020 22:00,-2.15,-0.042561643,129,-991,824,-1159,-81,0,10/12/2020 22:00
130,350.75,351.93,347.14,347.93,57958749,10/13/2020 22:00,-2.82,0.177077086,130,296,788,-1268,29,0,10/13/2020 22:00
131,343.71,348.02,343.13,347.5,60357659,10/14/2020 22:00,3.79,-1.21288765,131,-1590,907,-1590,39,0,10/14/2020 22:00
132,348.96,350.75,347.1,347.29,89501868,10/15/2020 22:00,-1.67,0.420143885,132,43,635,-833,-510,0,10/15/2020 22:00
133,348.65,349.33,341.04,342.01,68425614,10/18/2020 22:00,-6.64,0.391603559,133,1068,1113,-1271,-119,0,10/18/2020 22:00
134,343.46,346.88,342.64,343.38,60051880,10/19/2020 22:00,-0.08,0.423964212,134,1300,1327,-1099,-186,0,10/19/2020 22:00
135,343.33,348.6847,342.4,342.73,63574979,10/20/2020 22:00,-0.6,-0.014561128,135,-113,829,-1063,-188,0,10/20/2020 22:00
136,342.96,345.24,340.65,344.61,55399292,10/21/2020 22:00,1.65,0.067108219,136,634,1072,-837,-297,0,10/21/2020 22:00
137,345.93,345.99,343.13,345.78,49143931,10/22/2020 22:00,-0.15,0.383041699,137,1204,1211,-1046,-187,0,10/22/2020 22:00
138,342.13,342.98,335.62,339.39,91473002,10/25/2020 22:00,-2.74,-1.055584476,138,-1583,1020,-1583,-155,0,10/25/2020 22:00
139,339.76,340.12,337.99,338.22,65994108,10/26/2020 22:00,-1.54,0.109019123,139,-222,631,-743,-411,0,10/26/2020 22:00
140,332.1,338.2483,326.13,326.66,127094307,10/27/2020 22:00,-5.44,-1.809473124,140,-1730,835,-1730,-425,0,10/27/2020 22:00
141,326.91,333.395,325.09,329.98,90597689,10/28/2020 22:00,3.07,0.076532174,141,-565,1203,-829,19,0,10/28/2020 22:00
142,328.28,329.69,322.6,326.54,120448685,10/29/2020 22:00,-1.74,-0.515182738,142,-847,1191,-1129,-242,0,10/29/2020 22:00
143,330.2,332.36,327.24,330.2,86068299,11/1/2020 22:00,0,1.120842776,143,1466,1466,-959,-94,0,11/1/2020 22:00
144,333.69,338.25,330.2935,336.03,93294192,11/2/2020 22:00,2.34,1.056935191,144,1473,1491,-944,-62,0,11/2/2020 22:00
145,340.86,347.94,339.59,343.54,126959700,11/3/2020 22:00,2.68,1.437371663,145,-66,1126,-946,49,0,11/3/2020 22:00
146,349.24,352.19,348.86,350.24,82039749,11/4/2020 22:00,1,1.659195436,146,1244,1244,-819,210,0,11/4/2020 22:00
147,349.93,351.51,347.65,350.16,74972973,11/5/2020 22:00,0.23,-0.088510735,147,424,695,-933,-308,0,11/5/2020 22:00
148,363.97,364.38,354.06,354.56,172304203,11/8/2020 22:00,-9.41,3.943911355,148,1321,1393,-982,-180,0,11/8/2020 22:00
149,353.49,355.18,350.51,354.04,85552022,11/9/2020 22:00,0.55,-0.301782491,149,586,935,-813,55,0,11/9/2020 22:00
150,356.4,357.56,355.06,356.67,58649048,11/10/2020 22:00,0.27,0.666591346,150,784,784,-989,7,0,11/10/2020 22:00
151,355.58,356.7182,351.26,353.21,68118563,11/11/2020 22:00,-2.37,-0.305604621,151,-934,846,-1323,-11,0,11/11/2020 22:00
152,355.27,358.9,354.71,358.1,62959429,11/12/2020 22:00,2.83,0.583222446,152,1366,1370,-638,153,0,11/12/2020 22:00
153,360.98,362.78,359.59,362.57,74541138,11/15/2020 22:00,1.59,0.804244624,153,1290,1290,-931,-304,0,11/15/2020 22:00
154,359.97,361.92,358.34,360.62,66111009,11/16/2020 22:00,0.65,-0.717102904,154,-1196,959,-1196,-252,0,11/16/2020 22:00
155,360.91,361.5,356.24,356.28,70591299,11/17/2020 22:00,-4.63,0.08041706,155,686,686,-1267,-37,0,11/17/2020 22:00
156,355.6,358.18,354.15,357.78,59940947,11/18/2020 22:00,2.18,-0.19086112,156,-584,1146,-710,266,0,11/18/2020 22:00
157,357.5,357.72,355.25,355.33,70411890,11/19/2020 22:00,-2.17,-0.078260383,157,-582,1053,-742,163,0,11/19/2020 22:00
158,357.28,358.82,354.865,357.46,63230608,11/22/2020 22:00,0.18,0.548785636,158,1423,1423,-719,-46,0,11/22/2020 22:00
159,360.21,363.81,359.29,363.22,62415877,11/23/2020 22:00,3.01,0.769316847,159,1452,1452,-824,21,0,11/23/2020 22:00
160,363.13,363.16,361.48,362.66,45330890,11/24/2020 22:00,-0.47,-0.024778371,160,-445,632,-680,-111,0,11/24/2020 22:00
161,363.84,364.18,362.58,363.67,28514072,11/26/2020 22:00,-0.17,0.325373628,161,182,615,-711,0,0,11/26/2020 22:00
162,362.83,363.12,359.17,362.06,83872709,11/29/2020 22:00,-0.77,-0.230978634,162,-580,811,-1062,-287,0,11/29/2020 22:00
163,365.57,367.68,364.93,366.02,74504969,11/30/2020 22:00,0.45,0.969452577,163,1528,1528,-958,246,0,11/30/2020 22:00
164,364.82,366.96,364.2,366.79,45927000,12/1/2020 22:00,1.97,-0.327850937,164,-850,826,-850,38,0,12/1/2020 22:00
165,366.68,368.19,365.5,366.69,62881998,12/2/2020 22:00,0.01,-0.029989912,165,581,818,-1308,224,0,12/2/2020 22:00
166,367.32,369.85,367.22,369.85,50749859,12/3/2020 22:00,2.53,0.171807249,166,1156,1156,-551,255,0,12/3/2020 22:00
167,369.02,369.62,367.72,369.09,48944269,12/6/2020 22:00,0.07,-0.224415304,167,-422,734,-1011,-59,0,12/6/2020 22:00
168,367.72,370.78,367.67,370.17,42458859,12/7/2020 22:00,2.45,-0.37118318,168,-694,703,-697,211,0,12/7/2020 22:00
169,370.88,371.05,365.95,366.85,74098312,12/8/2020 22:00,-4.03,0.191803766,169,1066,1066,-1070,299,0,12/8/2020 22:00
170,365.37,367.86,364.43,366.73,57735353,12/9/2020 22:00,1.36,-0.403434646,170,-960,823,-969,49,0,12/9/2020 22:00
171,364.9,366.7402,363.26,366.3,57698614,12/10/2020 22:00,1.4,-0.499004717,171,-929,850,-1018,31,0,12/10/2020 22:00
172,368.64,369.8,364.47,364.66,69216174,12/13/2020 22:00,-3.98,0.638820639,172,1407,1407,-1177,-108,0,12/13/2020 22:00
173,367.4,369.59,365.92,369.59,64071099,12/14/2020 22:00,2.19,0.751384852,173,1331,1338,-571,-155,0,12/14/2020 22:00
174,369.82,371.16,368.8676,370.17,58420517,12/15/2020 22:00,0.35,0.062231121,174,685,1045,-731,-153,0,12/15/2020 22:00
175,371.94,372.46,371.05,372.24,64119472,12/16/2020 22:00,0.3,0.478158684,175,1174,1174,-652,234,0,12/16/2020 22:00
176,370.97,371.15,367.02,369.18,136542328,12/17/2020 22:00,-1.79,-0.341177735,176,453,929,-992,64,0,12/17/2020 22:00
177,364.97,378.46,362.03,367.86,96386745,12/20/2020 22:00,2.89,-1.140365134,177,-1418,994,-1418,401,0,12/20/2020 22:00
178,368.21,368.3317,366.03,367.24,48388462,12/21/2020 22:00,-0.97,0.095144892,178,203,639,-840,428,0,12/21/2020 22:00
179,368.28,369.62,367.2172,367.57,46201402,12/22/2020 22:00,-0.71,0.283193552,179,1207,1241,-1139,-41,0,12/22/2020 22:00
180,368.08,369.03,367.45,369,26457853,12/23/2020 22:00,0.92,0.138749082,180,766,816,-546,0,0,12/23/2020 22:00
181,371.74,372.59,371.07,372.17,39000402,12/27/2020 22:00,0.43,0.742547425,181,1298,1298,-750,155,0,12/27/2020 22:00
182,373.81,374,370.83,371.46,53680451,12/28/2020 22:00,-2.35,0.440658839,182,1071,1175,-1008,318,0,12/28/2020 22:00
183,372.34,373.1,371.57,371.99,49455259,12/29/2020 22:00,-0.35,0.236903031,183,650,737,-835,-58,0,12/29/2020 22:00
184,371.78,374.66,371.232,373.88,78520702,12/30/2020 22:00,2.1,-0.05645313,184,-30,967,-635,-62,0,12/30/2020 22:00
185,375.31,375.45,364.82,368.79,110210810,1/3/2021 22:00,-6.52,0.382475661,185,1106,1106,-1335,-472,0,1/3/2021 22:00
186,368.1,372.5,368.05,371.33,66426229,1/4/2021 22:00,3.23,-0.187098349,186,114,1037,-961,-13,0,1/4/2021 22:00
187,369.71,376.98,369.12,373.55,107997675,1/5/2021 22:00,3.84,-0.436269625,187,690,1001,-1295,-498,0,1/5/2021 22:00
188,376.1,379.9,375.91,379.1,68766812,1/6/2021 22:00,3,0.68263954,188,895,966,-703,-35,0,1/6/2021 22:00
189,380.59,381.49,377.1,381.26,71677208,1/7/2021 22:00,0.67,0.393036138,189,938,1068,-1194,328,0,1/7/2021 22:00
190,377.85,380.58,377.7189,378.69,51176719,1/10/2021 22:00,0.84,-0.89440277,190,-1404,772,-1404,1,0,1/10/2021 22:00
191,378.89,379.86,376.36,378.77,52547716,1/11/2021 22:00,-0.12,0.052813647,191,617,881,-813,306,0,1/11/2021 22:00
192,378.69,380.86,377.85,379.79,45303619,1/12/2021 22:00,1.1,-0.021120997,192,124,883,-622,-13,0,1/12/2021 22:00
193,380.59,381.13,378.1,378.46,49989113,1/13/2021 22:00,-2.13,0.210642724,193,1308,1312,-928,100,0,1/13/2021 22:00
194,376.72,377.58,373.7,375.7,107159962,1/14/2021 22:00,-1.02,-0.459757966,194,-1098,813,-1135,-55,0,1/14/2021 22:00
195,378.34,379.23,376.75,378.65,51233300,1/18/2021 22:00,0.31,0.702688315,195,1231,1231,-786,232,0,1/18/2021 22:00
196,381.11,384.79,380.69,383.89,61836062,1/19/2021 22:00,2.78,0.649676482,196,745,761,-726,233,0,1/19/2021 22:00
197,384.49,384.95,383.25,384.24,47955809,1/20/2021 22:00,-0.25,0.156294772,197,207,594,-771,-286,0,1/20/2021 22:00
198,382.25,384.1256,381.835,382.88,52136931,1/21/2021 22:00,0.63,-0.517905476,198,-1095,819,-1095,608,0,1/21/2021 22:00
