,open,high,low,close,volume,date,,,,Tick open,Spy gap percentage,Spy close percentage
147,350.21,352.71,349.24,352.6,54999325,8/31/2020 22:00,,,,,,
148,354.67,358.75,353.43,357.7,69540035,9/1/2020 22:00,,,,,,
149,355.87,356.38,342.59,345.39,148011129,9/2/2020 22:00,,,,,,
150,346.13,347.83,334.87,342.57,139156281,9/3/2020 22:00,,,,,,
151,336.71,342.64,332.88,333.21,114465322,9/7/2020 22:00,,,,,,
152,337.55,342.46,336.61,339.79,91462290,9/8/2020 22:00,,,,,,
153,341.82,342.53,332.85,333.89,90569548,9/9/2020 22:00,,,,,,
154,335.82,336.97,331,334.06,84680194,9/10/2020 22:00,,,,,,
155,337.49,340.38,334.2208,338.46,65605686,9/13/2020 22:00,,,,,,
156,341.12,342.02,338.4683,340.17,52920862,9/14/2020 22:00,,,,,,
157,341.51,343.06,338.52,338.82,82211256,9/15/2020 22:00,,,,,,
158,333.56,337.6996,332.991,335.84,91523339,9/16/2020 22:00,,,,,,
159,335.37,335.49,327.97,330.65,105877942,9/17/2020 22:00,,,,,,
160,325.7,327.13,321.73,326.97,99450829,9/20/2020 22:00,,,,,,
161,328.57,330.9,325.86,330.3,63612107,9/21/2020 22:00,,,,,,
162,330.9,331.2,322.1,322.64,93112240,9/22/2020 22:00,,,,,,
163,321.22,326.797,319.8,323.5,76681332,9/23/2020 22:00,,,,,,
164,322.58,329.58,321.64,328.73,71069426,9/24/2020 22:00,,,,,,
165,333.22,334.96,332.15,334.19,64584614,9/27/2020 22:00,,,,,,
166,333.97,334.77,331.6209,332.37,51531594,9/28/2020 22:00,,,,,,
167,333.09,338.29,332.88,334.89,104081136,9/29/2020 22:00,,,,,,
168,337.69,338.74,335.01,337.04,88698745,9/30/2020 22:00,,,,,,
169,331.7,337.0126,331.19,333.84,89431112,10/1/2020 22:00,,,,,,
170,336.06,339.96,336.01,339.76,45713108,10/4/2020 22:00,,,,,,
171,339.91,342.17,334.38,334.93,90128883,10/5/2020 22:00,,,,,,
172,338.12,341.63,338.09,340.76,56999597,10/6/2020 22:00,,,,,,
173,342.85,343.85,341.86,343.78,45242476,10/7/2020 22:00,,,,,,
174,345.56,347.35,344.89,346.85,59528606,10/8/2020 22:00,,,,,,
175,349.59,354.02,349.06,352.43,80388533,10/11/2020 22:00,,,,,,
176,352.28,352.4651,349.09,350.13,73255513,10/12/2020 22:00,,,,,,
177,350.75,351.93,347.14,347.93,57958749,10/13/2020 22:00,,,,,,
178,343.71,348.02,343.13,347.5,60357659,10/14/2020 22:00,,,,,,
179,348.96,350.75,347.1,347.29,89501868,10/15/2020 22:00,,,,,,
180,348.65,349.33,341.04,342.01,68425614,10/18/2020 22:00,,,,,,
181,343.46,346.88,342.64,343.38,60051880,10/19/2020 22:00,,,,,,
182,343.33,348.6847,342.4,342.73,63574979,10/20/2020 22:00,,,,,,
183,342.96,345.24,340.65,344.61,55399292,10/21/2020 22:00,,,,,,
184,345.93,345.99,343.13,345.78,49143931,10/22/2020 22:00,,,,,,
185,342.13,342.98,335.62,339.39,91473002,10/25/2020 22:00,,,,,,
186,339.76,340.12,337.99,338.22,65994108,10/26/2020 22:00,,,,,,
187,332.1,338.2483,326.13,326.66,127094307,10/27/2020 22:00,,,,,,
188,326.91,333.395,325.09,329.98,90597689,10/28/2020 22:00,,,,,,
189,328.28,329.69,322.6,326.54,120448685,10/29/2020 22:00,,,,,,
190,330.2,332.36,327.24,330.2,86068299,11/1/2020 22:00,,,,,,
191,333.69,338.25,330.2935,336.03,93294192,11/2/2020 22:00,,,,,,
192,340.86,347.94,339.59,343.54,126959700,11/3/2020 22:00,,,,,,
193,349.24,352.19,348.86,350.24,82039749,11/4/2020 22:00,,,,,,
194,349.93,351.51,347.65,350.16,74972973,11/5/2020 22:00,,,,,,
195,363.97,364.38,354.06,354.56,172304203,11/8/2020 22:00,,,,,,
196,353.49,355.18,350.51,354.04,85552022,11/9/2020 22:00,,,,,,
197,356.4,357.56,355.06,356.67,58649048,11/10/2020 22:00,,,,,,
198,355.58,356.7182,351.26,353.21,68118563,11/11/2020 22:00,,,,,,
199,355.27,358.9,354.71,358.1,62959429,11/12/2020 22:00,,,,,,
200,360.98,362.78,359.59,362.57,74541138,11/15/2020 22:00,,,,,,
201,359.97,361.92,358.34,360.62,66111009,11/16/2020 22:00,,,,,,
202,360.91,361.5,356.24,356.28,70591299,11/17/2020 22:00,,,,,,
203,355.6,358.18,354.15,357.78,59940947,11/18/2020 22:00,,,,,,
204,357.5,357.72,355.25,355.33,70411890,11/19/2020 22:00,,,,,,
205,357.28,358.82,354.865,357.46,63230608,11/22/2020 22:00,,,,,,
206,360.21,363.81,359.29,363.22,62415877,11/23/2020 22:00,,,,,,
207,363.13,363.16,361.48,362.66,45330890,11/24/2020 22:00,,,,,,
208,363.84,364.18,362.58,363.67,28514072,11/26/2020 22:00,,,,,,
209,362.83,363.12,359.17,362.06,83872709,11/29/2020 22:00,,,,,,
210,365.57,367.68,364.93,366.02,74504969,11/30/2020 22:00,,,,,,
211,364.82,366.96,364.2,366.79,45927000,12/1/2020 22:00,,,,,,
212,366.68,368.19,365.5,366.69,62881998,12/2/2020 22:00,,,,,,
213,367.32,369.85,367.22,369.85,50749859,12/3/2020 22:00,,,,,,
214,369.02,369.62,367.72,369.09,48944269,12/6/2020 22:00,,,,,,
215,367.72,370.78,367.67,370.17,42458859,12/7/2020 22:00,,,,,,
216,370.88,371.05,365.95,366.85,74098312,12/8/2020 22:00,,,,,,
