,open,high,low,close,volume,date,,
234,205.69,217.39,205.69,212.14,787371,3/19/2021 8:55,,
235,212,214.85,209.56,211.11,334016,3/19/2021 9:00,,
236,210.7201,211.9999,208.42,209.29,222248,3/19/2021 9:05,,
237,209.29,211.45,207.5612,207.77,287246,3/19/2021 9:10,,
238,207.6068,212.5,207.6068,209.01,261907,3/19/2021 9:15,,
239,209.3954,212.9,208.4221,209.44,225065,3/19/2021 9:20,,
240,209.23,218,208.78,217.0258,472017,3/19/2021 9:25,,
241,217.3506,221,216.65,218.9099,542162,3/19/2021 9:30,,
242,218.808,227,218.69,223.55,729049,3/19/2021 9:35,,
243,223.72,223.9699,219.18,220.28,488916,3/19/2021 9:40,,
244,219.5,220.94,215.12,216.03,321128,3/19/2021 9:45,,
245,216.49,218,214.11,216.36,233744,3/19/2021 9:50,,
246,215.98,219.1399,215,216.25,208111,3/19/2021 9:55,,
247,215.8,217.37,214.5,216.27,151458,3/19/2021 10:00,,
248,216.36,219.78,216.2818,217.8283,205696,3/19/2021 10:05,,
249,218.15,219.4999,210.76,211.9929,320532,3/19/2021 10:10,,
250,211.93,213.48,211,213.31,192154,3/19/2021 10:15,,
251,213.4484,214,211.5432,212.4201,105164,3/19/2021 10:20,,
252,212.2501,212.5584,209.37,211.8871,152322,3/19/2021 10:25,,
253,211.8701,214.18,211.6542,213,130566,3/19/2021 10:30,,
254,213.35,214.43,211.23,212.16,105336,3/19/2021 10:35,,
255,212.33,214.04,210.2,214.04,131318,3/19/2021 10:40,,
256,214.2,216.85,213.15,213.9973,226643,3/19/2021 10:45,,
257,213.64,214.2499,211,212.0005,91990,3/19/2021 10:50,,
258,212.0575,213.2,209.37,211.875,113423,3/19/2021 10:55,,
259,211.7278,212.4,207.7,209.249,138492,3/19/2021 11:00,,
260,209,210.5,207.7201,208.9137,86072,3/19/2021 11:05,,
261,208.31,211.25,208.1128,209.6263,94395,3/19/2021 11:10,,
262,209.61,210.2199,206.63,207.79,93056,3/19/2021 11:15,,
263,207.3377,208,205.2,206.515,133716,3/19/2021 11:20,,
264,206.49,207.5,205.02,205.0402,72995,3/19/2021 11:25,,
265,205.2962,206.9,203.54,206.7984,144324,3/19/2021 11:30,,
266,206.5,207.81,206.1101,206.3821,68444,3/19/2021 11:35,,
267,206.7349,208.18,205.5,207.8789,82693,3/19/2021 11:40,,
268,207.8659,210.8396,207.1426,210.49,196387,3/19/2021 11:45,,
269,210.41,214.49,209.25,213.0218,241101,3/19/2021 11:50,,
270,213,213.55,210.78,212.23,151422,3/19/2021 11:55,,
271,212.23,212.23,208.5365,209,143126,3/19/2021 12:00,,
272,209,209.45,207.0438,207.57,103500,3/19/2021 12:05,,
273,207.55,209.26,207.1872,208.43,105511,3/19/2021 12:10,,
274,208.41,209.91,206.19,206.76,117674,3/19/2021 12:15,,
275,206.602,208.55,204.49,205.9985,114141,3/19/2021 12:20,,
276,206.2,206.38,205.05,206.17,58335,3/19/2021 12:25,,
277,206.115,206.77,202.24,204.664,170249,3/19/2021 12:30,,
278,204.75,205,203.2001,203.5,78123,3/19/2021 12:35,,
279,203.41,204.3486,202.05,202.3,123197,3/19/2021 12:40,,
280,202.39,204.56,201.604,203.6988,153618,3/19/2021 12:45,,
281,203.84,205.4999,203.2284,203.5,162955,3/19/2021 12:50,,
282,203.42,203.7465,199.46,199.46,365721,3/19/2021 12:55,,
283,202.44,202.44,198.27,200.27,1423193,3/19/2021 13:00,,
284,200.27,200.4,198.62,200,25529,3/19/2021 13:05,,
285,199.97,200.35,198.25,198.75,11416,3/19/2021 13:10,,
286,198.75,199.48,198.75,199.23,8387,3/19/2021 13:15,,
287,199.26,200,199.26,199.6,13825,3/19/2021 13:20,,
288,199.7,199.81,198.55,198.8,38912,3/19/2021 13:25,,
289,199.02,199.45,198.31,199,12722,3/19/2021 13:30,,
290,198.99,199.59,198.99,199.57,3565,3/19/2021 13:35,,
291,199.5701,200,199.3,199.3,8232,3/19/2021 13:40,,
292,199.01,200.19,199.01,200.18,6199,3/19/2021 13:45,,
293,200,200.77,200,200.77,4674,3/19/2021 13:50,,
294,200.77,200.77,200,200.4,6526,3/19/2021 13:55,,
295,200,200.0599,199.75,199.99,3298,3/19/2021 14:00,,
296,199.99,200.4,199.8,199.82,4365,3/19/2021 14:05,,
297,199.92,200.01,199.87,200,946,3/19/2021 14:10,,
298,199.9,200.04,199.9,200.04,485,3/19/2021 14:15,,
299,200,200.3142,200,200.3142,600,3/19/2021 14:20,,
300,200,200,199.55,199.55,1028,3/19/2021 14:25,,
301,199.5972,199.95,199.5957,199.5957,620,3/19/2021 14:30,,
302,199.9778,200.4,199.55,200.4,1617,3/19/2021 14:35,,
303,200.4,200.4,200,200,2293,3/19/2021 14:40,,
304,200,200.35,200,200.35,1123,3/19/2021 14:45,,
305,200,200.34,200,200.26,713,3/19/2021 14:50,,
306,200.0048,200.34,200,200.24,1145,3/19/2021 14:55,,
307,200.24,200.29,200.24,200.29,1431,3/19/2021 15:00,,
308,200.27,200.27,199.65,199.65,3054,3/19/2021 15:05,,
309,199.99,200,199.99,199.99,1351,3/19/2021 15:10,,
310,200.02,200.02,199.4,199.88,5296,3/19/2021 15:15,,
311,199.6,200.1,199.6,200.1,520,3/19/2021 15:20,,
312,199.8,199.8,199.01,199.4,4381,3/19/2021 15:25,,
313,199.1,199.38,199,199.38,4851,3/19/2021 15:30,,
314,199.07,199.26,199.06,199.26,461,3/19/2021 15:35,,
315,199.05,199.48,199.01,199.48,1664,3/19/2021 15:40,,
316,199.48,199.48,199.48,199.48,300,3/19/2021 15:45,,
317,199.44,199.94,199.44,199.94,1312,3/19/2021 15:50,,
318,199.94,200,199.94,200,2722,3/19/2021 15:55,,
319,199.98,199.98,199.98,199.98,167,3/19/2021 16:00,,
320,199.58,199.61,199.44,199.44,702,3/19/2021 16:05,,
321,199.25,199.95,199.2,199.95,498,3/19/2021 16:10,,
322,199.2,199.21,199.2,199.2,2067,3/19/2021 16:20,,
323,199.48,199.99,199.21,199.3,900,3/19/2021 16:25,,
324,199.31,199.31,199.31,199.31,142,3/19/2021 16:30,,
325,199.4,199.4,199.3,199.3,341,3/19/2021 16:35,,
326,199.3,199.3,199.2,199.2,371,3/19/2021 16:40,,
327,199.2,199.4,198.89,198.89,2971,3/19/2021 16:45,,
328,198.8,198.8,198.79,198.79,1063,3/19/2021 16:50,,
329,198.79,199,198.5601,199,3725,3/19/2021 16:55,,
