date,1. open,2. high,3. low,4. close,5. volume
2021-12-09 10:31:00,174.035,174.31,173.96,174.27,438974.0
2021-12-09 10:30:00,174.23,174.3788,173.92,174.04,562133.0
2021-12-09 10:29:00,174.46,174.48,174.14,174.235,478901.0
2021-12-09 10:28:00,174.3618,174.54,174.35,174.4519,231152.0
2021-12-09 10:27:00,174.51,174.57,174.34,174.36,319153.0
2021-12-09 10:26:00,174.54,174.65,174.3303,174.5,476438.0
2021-12-09 10:25:00,174.9834,175.0,174.45,174.5399,467653.0
2021-12-09 10:24:00,175.14,175.14,174.96,174.962,248337.0
2021-12-09 10:23:00,175.2601,175.39,175.08,175.145,285122.0
2021-12-09 10:22:00,175.28,175.3,175.15,175.2618,258375.0
2021-12-09 10:21:00,175.17,175.3101,175.1,175.255,304515.0
2021-12-09 10:20:00,175.11,175.23,175.1,175.16,301002.0
2021-12-09 10:19:00,174.99,175.18,174.9616,175.1065,247201.0
2021-12-09 10:18:00,175.01,175.11,174.96,174.985,223816.0
2021-12-09 10:17:00,174.93,175.12,174.87,174.99,326738.0
2021-12-09 10:16:00,175.1928,175.37,174.831,174.9299,421806.0
2021-12-09 10:15:00,175.1,175.31,175.01,175.1934,320385.0
2021-12-09 10:14:00,175.3844,175.395,175.068,175.105,339350.0
2021-12-09 10:13:00,175.3645,175.48,175.31,175.385,404322.0
2021-12-09 10:12:00,175.245,175.37,175.21,175.3601,367373.0
2021-12-09 10:11:00,175.14,175.27,175.01,175.24,423834.0
2021-12-09 10:10:00,174.79,175.18,174.78,175.139,636277.0
2021-12-09 10:09:00,174.94,175.11,174.77,174.79,601361.0
2021-12-09 10:08:00,175.415,175.415,174.91,174.9298,779104.0
2021-12-09 10:07:00,175.515,175.53,175.3853,175.41,379763.0
2021-12-09 10:06:00,175.8409,175.87,175.51,175.52,365190.0
2021-12-09 10:05:00,175.9,175.94,175.8,175.85,240376.0
2021-12-09 10:04:00,175.81,175.94,175.665,175.91,339102.0
2021-12-09 10:03:00,176.01,176.03,175.63,175.81,655632.0
2021-12-09 10:02:00,175.96,176.18,175.91,176.017,392090.0
2021-12-09 10:01:00,176.13,176.18,175.93,175.97,642087.0
2021-12-09 10:00:00,176.175,176.36,176.08,176.11,405506.0
2021-12-09 09:59:00,176.265,176.3,176.07,176.1699,307879.0
2021-12-09 09:58:00,176.16,176.35,176.11,176.27,303026.0
2021-12-09 09:57:00,176.27,176.27,176.06,176.1556,354166.0
2021-12-09 09:56:00,176.45,176.56,176.1,176.28,347970.0
2021-12-09 09:55:00,176.26,176.56,176.2409,176.4401,391637.0
2021-12-09 09:54:00,176.295,176.3,176.04,176.27,396032.0
2021-12-09 09:53:00,176.39,176.39,176.07,176.2938,502960.0
2021-12-09 09:52:00,176.63,176.6599,176.35,176.405,358677.0
2021-12-09 09:51:00,176.32,176.7,176.241,176.61,495039.0
2021-12-09 09:50:00,176.5488,176.6,176.27,176.32,447713.0
2021-12-09 09:49:00,176.395,176.74,174.84,176.5499,824628.0
2021-12-09 09:48:00,176.4182,176.4925,176.25,176.4,312935.0
2021-12-09 09:47:00,176.5,176.55,176.31,176.42,379389.0
2021-12-09 09:46:00,176.255,176.59,176.255,176.49,588565.0
2021-12-09 09:45:00,176.165,176.28,176.09,176.25,282386.0
2021-12-09 09:44:00,176.28,176.38,176.07,176.1701,407867.0
2021-12-09 09:43:00,176.2,176.38,176.09,176.28,442785.0
2021-12-09 09:42:00,176.211,176.27,175.97,176.205,608959.0
2021-12-09 09:41:00,176.4,176.48,176.21,176.22,376915.0
2021-12-09 09:40:00,176.58,176.65,176.31,176.3699,443356.0
2021-12-09 09:39:00,176.481,176.75,176.46,176.5999,628450.0
2021-12-09 09:38:00,176.17,176.5,176.02,176.4808,461141.0
2021-12-09 09:37:00,176.32,176.38,175.99,176.1748,643827.0
2021-12-09 09:36:00,176.52,176.5486,176.13,176.3301,498577.0
2021-12-09 09:35:00,176.27,176.56,176.26,176.54,878058.0
2021-12-09 09:34:00,175.88,176.31,175.8,176.2638,567816.0
2021-12-09 09:33:00,176.02,176.3436,175.75,175.86,842353.0
2021-12-09 09:32:00,175.415,176.16,175.32,176.02,958180.0
2021-12-09 09:31:00,174.91,175.43,174.55,175.3901,1890570.0
2021-12-09 09:30:00,174.92,174.96,174.82,174.85,16152.0
2021-12-09 09:29:00,174.71,174.97,174.71,174.92,26335.0
2021-12-09 09:28:00,175.12,175.14,174.63,174.71,50643.0
2021-12-09 09:27:00,175.08,175.15,175.08,175.1,12774.0
2021-12-09 09:26:00,175.26,175.26,175.0,175.01,65106.0
2021-12-09 09:25:00,175.27,175.29,175.21,175.2602,15983.0
2021-12-09 09:24:00,175.33,175.346,175.27,175.27,4846.0
2021-12-09 09:23:00,175.32,175.35,175.27,175.32,9343.0
2021-12-09 09:22:00,175.44,175.45,175.25,175.27,25584.0
2021-12-09 09:21:00,175.26,175.45,175.24,175.44,36126.0
2021-12-09 09:20:00,175.2975,175.3,175.25,175.26,13384.0
2021-12-09 09:19:00,175.29,175.36,175.25,175.3,21923.0
2021-12-09 09:18:00,175.28,175.41,175.24,175.3,40697.0
2021-12-09 09:17:00,175.22,175.36,175.2,175.27,49588.0
2021-12-09 09:16:00,175.2,175.24,175.16,175.22,28365.0
2021-12-09 09:15:00,175.09,175.22,175.09,175.21,27867.0
2021-12-09 09:14:00,174.95,175.08,174.94,175.08,15946.0
2021-12-09 09:13:00,174.96,174.96,174.91,174.93,6260.0
2021-12-09 09:12:00,174.91,174.99,174.89,174.98,7242.0
2021-12-09 09:11:00,174.99,174.99,174.91,174.94,23308.0
2021-12-09 09:10:00,174.97,175.0,174.9201,175.0,31981.0
2021-12-09 09:09:00,174.89,174.99,174.89,174.97,11015.0
2021-12-09 09:08:00,174.96,174.9699,174.88,174.89,16876.0
2021-12-09 09:07:00,174.89,174.98,174.89,174.96,19789.0
2021-12-09 09:06:00,174.78,174.89,174.78,174.89,59157.0
2021-12-09 09:05:00,174.76,174.8,174.76,174.79,20948.0
2021-12-09 09:04:00,174.74,174.79,174.74,174.76,6119.0
2021-12-09 09:03:00,174.67,174.76,174.65,174.76,5414.0
2021-12-09 09:02:00,174.72,174.72,174.63,174.63,6485.0
2021-12-09 09:01:00,174.73,174.75,174.72,174.75,3442.0
2021-12-09 09:00:00,174.66,174.77,174.66,174.69,14958.0
2021-12-09 08:59:00,174.69,174.69,174.65,174.66,6787.0
2021-12-09 08:58:00,174.66,174.69,174.66,174.66,2868.0
2021-12-09 08:57:00,174.65,174.66,174.61,174.66,8740.0
2021-12-09 08:56:00,174.65,174.7,174.65,174.68,7197.0
2021-12-09 08:55:00,174.73,174.74,174.65,174.65,6310.0
2021-12-09 08:54:00,174.67,174.75,174.67,174.74,12864.0
2021-12-09 08:53:00,174.68,174.7,174.67,174.67,3900.0
2021-12-09 08:52:00,174.63,174.75,174.62,174.68,14613.0
2021-12-09 08:51:00,174.44,174.68,174.44,174.6399,22077.0
2021-12-09 08:50:00,174.55,174.55,174.38,174.44,7851.0
2021-12-09 08:49:00,174.49,174.55,174.49,174.55,8174.0
2021-12-09 08:48:00,174.48,174.49,174.45,174.47,5830.0
2021-12-09 08:47:00,174.46,174.51,174.46,174.5,8458.0
2021-12-09 08:46:00,174.47,174.48,174.46,174.46,3625.0
2021-12-09 08:45:00,174.44,174.48,174.42,174.47,3412.0
2021-12-09 08:44:00,174.51,174.52,174.45,174.45,12170.0
2021-12-09 08:43:00,174.42,174.5,174.37,174.5,6721.0
2021-12-09 08:42:00,174.34,174.38,174.31,174.38,5050.0
2021-12-09 08:41:00,174.31,174.31,174.31,174.31,1739.0
2021-12-09 08:40:00,174.3,174.37,174.28,174.33,9938.0
2021-12-09 08:39:00,174.3,174.3,174.18,174.3,419811.0
2021-12-09 08:38:00,174.39,174.4299,174.21,174.31,8697.0
2021-12-09 08:37:00,174.3601,174.37,174.35,174.36,2456.0
2021-12-09 08:36:00,174.3,174.36,174.3,174.35,5375.0
2021-12-09 08:35:00,174.32,174.32,174.28,174.28,1229.0
2021-12-09 08:34:00,174.28,174.29,174.23,174.27,3641.0
2021-12-09 08:33:00,174.39,174.39,174.22,174.22,8456.0
2021-12-09 08:32:00,174.38,174.42,174.3501,174.38,5138.0
2021-12-09 08:31:00,174.36,174.38,174.36,174.38,1091.0
2021-12-09 08:30:00,174.35,174.4,174.35,174.38,2769.0
2021-12-09 08:29:00,174.38,174.4,174.33,174.35,5941.0
2021-12-09 08:28:00,174.32,174.38,174.31,174.38,5293.0
2021-12-09 08:27:00,174.22,174.28,174.22,174.28,7547.0
2021-12-09 08:26:00,174.25,174.2501,174.2133,174.2133,3129.0
2021-12-09 08:25:00,174.27,174.31,174.25,174.25,1866.0
2021-12-09 08:24:00,174.3,174.3,174.27,174.27,1522.0
2021-12-09 08:23:00,174.28,174.31,174.28,174.29,7036.0
2021-12-09 08:22:00,174.29,174.3099,174.27,174.3,5074.0
2021-12-09 08:21:00,174.27,174.31,174.25,174.27,4775.0
2021-12-09 08:20:00,174.27,174.3399,174.27,174.3,5853.0
2021-12-09 08:19:00,174.18,174.25,174.18,174.25,3706.0
2021-12-09 08:18:00,174.1816,174.27,174.18,174.2,6320.0
2021-12-09 08:17:00,174.1,174.22,174.08,174.22,19445.0
2021-12-09 08:16:00,174.2299,174.2299,174.1,174.1,9504.0
2021-12-09 08:15:00,174.27,174.28,174.15,174.15,10312.0
2021-12-09 08:14:00,174.38,174.38,174.27,174.2701,10379.0
2021-12-09 08:13:00,174.4385,174.4486,174.3801,174.3801,6436.0
