,open,high,low,close,volume,datetime,,
216,497.99,502.5,489.06,489.61,32911922,1.60585E+12,-0.256374306,
217,503.5,526,501.79,521.85,50260304,1.60611E+12,2.83695186,
218,540.4,559.99,526.2,555.38,53648494,1.6062E+12,3.554661301,
219,550.06,574,545.37,574,48930162,1.60628E+12,-0.957902697,
220,581.16,598.78,578.45,585.76,37561078,1.60646E+12,1.24738676,
221,602.21,607.8,554.51,567.6,63003052,1.60672E+12,2.8083174,
222,597.59,597.85,572.05,584.76,40382832,1.6068E+12,5.283650458,
223,556.44,571.54,541.21,568.82,47775653,1.60689E+12,-4.843012518,
224,590.02,598.97,582.43,593.38,42552003,1.60698E+12,3.727013818,
225,591.01,599.04,585.5,599.04,29401314,1.60706E+12,-0.399406788,
226,604.9197,648.7856,603.05,641.76,56309709,1.60732E+12,0.981520433,
227,625.505,651.28,618.5,649.88,64265029,1.60741E+12,-2.532878335,
228,653.69,654.32,588,604.48,71291190,1.60749E+12,0.586262079,
229,574.37,627.75,566.34,627.07,67083153,1.60758E+12,-4.981140815,
230,615.01,624,596.8,609.99,46474974,1.60767E+12,-1.923230261,
231,619,642.7499,610.2001,639.83,52040649,1.60793E+12,1.477073395,
232,643.28,646.9,623.8,633.25,45223559,1.60801E+12,0.539205727,
233,628.23,632.5,605,622.77,42095813,1.6081E+12,-0.792735886,
234,628.19,658.82,619.5,655.9,56270144,1.60818E+12,0.870305249,
235,668.9,695,628.54,695,222126190,1.60827E+12,1.982009453,
236,666.24,668.5,646.07,649.86,58045264,1.60853E+12,-4.138129496,
237,648,649.88,614.23,640.34,51861644,1.60862E+12,-0.286215493,
238,632.2,651.4999,622.5701,645.98,33172972,1.6087E+12,-1.271199675,
239,642.99,666.09,641,661.77,22865568,1.60879E+12,-0.462862627,
240,674.51,681.4,660.8,663.69,32278561,1.60914E+12,1.925140154,
241,661,669.9,655,665.99,22910811,1.60922E+12,-0.405309708,
242,672,696.6,668.3603,694.78,42846021,1.60931E+12,0.902415952,
243,699.99,718.72,691.12,705.67,49649928,1.60939E+12,0.749877659,
244,719.46,744.4899,717.1895,729.77,48638189,1.60974E+12,1.954171213,
245,723.66,740.84,719.2,735.11,32245165,1.60983E+12,-0.837250092,
246,758.49,774,749.1,755.98,44699965,1.60991E+12,3.180476391,
247,777.63,816.99,775.2,816.04,51498948,1.61E+12,2.863832377,
248,856,884.49,838.39,880.02,75055528,1.61009E+12,4.896818783,
249,849.4,854.43,803.6222,811.19,59554146,1.61034E+12,-3.479466376,
250,831,868,827.34,849.44,46270720,1.61043E+12,2.442091249,
251,852.76,860.47,832,854.41,33312496,1.61052E+12,0.390845734,
252,843.39,863,838.75,845,31266327,1.6106E+12,-1.289778912,
253,852,859.9,819.1,826.16,38777596,1.61069E+12,0.828402367,
