,open,high,low,close,volume,date,,,
3322,135.03,135.05,134.911,134.911,34583,12/13/2021 9:51,-0.000978,135.08644,0.139
3323,134.91,135.07,134.88,135.005,33789,12/13/2021 9:52,0.000697,135.07444,0.19
3324,135.005,135.02,134.95,134.95,29733,12/13/2021 9:53,-0.000407,135.08446,0.07
3325,134.98,135.01,134.75,134.855,63881,12/13/2021 9:54,-0.000704,135.06446,0.26
3326,134.875,134.8894,134.57,134.6166,68104,12/13/2021 9:55,-0.001768,135.044,0.3194
3327,134.62,134.72,134.5726,134.69,40772,12/13/2021 9:56,0.000545,135.00788,0.1474
3328,134.68,134.88,134.6601,134.8596,52934,12/13/2021 9:57,0.001259,134.94188,0.2199
3329,134.83,134.98,134.83,134.87,30355,12/13/2021 9:58,0.000077,134.90388,0.15
3330,134.8501,134.96,134.7603,134.89,24524,12/13/2021 9:59,0.000148,134.89588,0.1997
3331,134.85,134.97,134.8001,134.84,34621,12/13/2021 10:00,-0.000371,134.88588,0.1699
3332,134.83,135.16,134.78,135.1022,66611,12/13/2021 10:01,0.001945,134.902,0.38
3333,135.12,135.45,135.07,135.4499,76152,12/13/2021 10:02,0.002574,134.99,0.38
3334,135.43,135.59,135.4,135.4,104424,12/13/2021 10:03,-0.000368,135.104,0.19
3335,135.425,135.46,135.2,135.31,68529,12/13/2021 10:04,-0.000665,135.226,0.26
3336,135.34,135.3681,135.17,135.25,41518,12/13/2021 10:05,-0.000443,135.326,0.1981
3337,135.23,135.27,135.141,135.1505,32721,12/13/2021 10:06,-0.000736,135.40562,0.129
3338,135.14,135.33,135.1201,135.17,50535,12/13/2021 10:07,0.000144,135.42762,0.2099
3339,135.175,135.3399,135.1702,135.2,27003,12/13/2021 10:08,0.000222,135.40362,0.1697
3340,135.19,135.24,135.05,135.0662,41476,12/13/2021 10:09,-0.000990,135.3536,0.19
3341,135.09,135.2,135.01,135.15,36966,12/13/2021 10:10,0.000620,135.3096,0.19
3342,135.1721,135.27,135.1,135.2299,36057,12/13/2021 10:11,0.000591,135.27598,0.17
3343,135.22,135.27,135.17,135.255,17915,12/13/2021 10:12,0.000186,135.27598,0.1
3344,135.2799,135.37,135.23,135.24,41693,12/13/2021 10:13,-0.000111,135.26398,0.14
3345,135.24,135.3,135.19,135.19,23206,12/13/2021 10:14,-0.000370,135.27,0.11
3346,135.18,135.32,135.12,135.241,28210,12/13/2021 10:15,0.000377,135.282,0.2
3347,135.2285,135.27,135.19,135.215,10184,12/13/2021 10:16,-0.000192,135.306,0.08
3348,135.23,135.24,135.05,135.18,32375,12/13/2021 10:17,-0.000259,135.306,0.19
3349,135.22,135.4218,135.22,135.245,68528,12/13/2021 10:18,0.000481,135.3,0.2018
3350,135.2419,135.32,135.23,135.2762,15314,12/13/2021 10:19,0.000231,135.31036,0.09
3351,135.2799,135.29,134.98,135.03,53963,12/13/2021 10:20,-0.001820,135.31436,0.31
3352,135.02,135.24,134.972,135.18,35056,12/13/2021 10:21,0.001111,135.30836,0.268
3353,135.189,135.2599,135.0619,135.1,32753,12/13/2021 10:22,-0.000592,135.30236,0.198
3354,135.13,135.28,135.05,135.21,43494,12/13/2021 10:23,0.000814,135.30634,0.23
